No.,名称,经度,纬度,值
399,0,111.796875000,28.828125000,219.750
400,0,113.203125000,28.828125000,132.250
401,0,114.609375000,28.828125000,282.750
402,0,116.015625000,28.828125000,433.249
403,0,117.421875000,28.828125000,583.749
404,0,118.828125000,28.828125000,-120.433
405,0,120.234375000,28.828125000,-311.961
406,0,121.640625000,28.828125000,-503.490
407,0,123.046875000,28.828125000,-695.019
408,0,124.453125000,28.828125000,-754.144
409,0,125.859375000,28.828125000,-680.865
410,0,127.265625000,28.828125000,-607.586
411,0,128.671875000,28.828125000,-534.307
412,0,130.078125000,28.828125000,-275.760
413,0,131.484375000,28.828125000,-1561.932
414,0,132.890625000,28.828125000,-2848.105
415,0,134.296875000,28.828125000,-4134.277
416,0,90.703125000,27.421875000,2382.996
417,0,92.109375000,27.421875000,1260.248
418,0,93.515625000,27.421875000,137.500
419,0,94.921875000,27.421875000,159.250
420,0,96.328125000,27.421875000,314.374
421,0,97.734375000,27.421875000,602.874
422,0,99.140625000,27.421875000,1570.122
423,0,100.546875000,27.421875000,2537.371
424,0,101.953125000,27.421875000,2892.245
425,0,103.359375000,27.421875000,2634.746
426,0,104.765625000,27.421875000,1953.747
427,0,106.171875000,27.421875000,1272.748
428,0,107.578125000,27.421875000,907.749
429,0,108.984375000,27.421875000,858.749
430,0,110.390625000,27.421875000,533.249
431,0,111.796875000,27.421875000,207.750
432,0,113.203125000,27.421875000,120.250
433,0,114.609375000,27.421875000,270.750
434,0,116.015625000,27.421875000,421.249
435,0,117.421875000,27.421875000,412.994
436,0,118.828125000,27.421875000,-291.188
437,0,120.234375000,27.421875000,-1691.296
438,0,121.640625000,27.421875000,-1882.825
439,0,123.046875000,27.421875000,-2074.354
440,0,124.453125000,27.421875000,-2133.479
441,0,125.859375000,27.421875000,-2060.199
442,0,127.265625000,27.421875000,-1986.921
443,0,128.671875000,27.421875000,-1942.870
444,0,130.078125000,27.421875000,-1684.323
445,0,131.484375000,27.421875000,-1211.280
446,0,132.890625000,27.421875000,-2497.452
447,0,134.296875000,27.421875000,-3783.624
448,0,90.703125000,26.015625000,1205.248
449,0,92.109375000,26.015625000,82.500
450,0,93.515625000,26.015625000,104.250
451,0,94.921875000,26.015625000,126.000
452,0,96.328125000,26.015625000,281.125
453,0,97.734375000,26.015625000,569.624
454,0,99.140625000,26.015625000,858.124
455,0,100.546875000,26.015625000,1825.372
456,0,101.953125000,26.015625000,2180.247
457,0,103.359375000,26.015625000,1922.747
458,0,104.765625000,26.015625000,1665.247
459,0,106.171875000,26.015625000,984.248
460,0,107.578125000,26.015625000,619.249
461,0,108.984375000,26.015625000,570.249
462,0,110.390625000,26.015625000,521.249
463,0,111.796875000,26.015625000,195.750
464,0,113.203125000,26.015625000,108.250
465,0,114.609375000,26.015625000,258.750
466,0,116.015625000,26.015625000,250.494
467,0,117.421875000,26.015625000,242.239
468,0,118.828125000,26.015625000,-461.943
469,0,120.234375000,26.015625000,-1862.051
470,0,121.640625000,26.015625000,-3262.159
471,0,123.046875000,26.015625000,-3453.688
472,0,124.453125000,26.015625000,-3512.813
473,0,125.859375000,26.015625000,-3439.534
474,0,127.265625000,26.015625000,-3395.483
475,0,128.671875000,26.015625000,-3351.433
476,0,130.078125000,26.015625000,-3092.886
477,0,131.484375000,26.015625000,-2619.842
478,0,132.890625000,26.015625000,-2146.799
479,0,134.296875000,26.015625000,-3432.971
480,0,90.703125000,24.609375000,27.500
481,0,92.109375000,24.609375000,49.250
482,0,93.515625000,24.609375000,71.000
483,0,94.921875000,24.609375000,92.750
484,0,96.328125000,24.609375000,247.875
485,0,97.734375000,24.609375000,536.374
486,0,99.140625000,24.609375000,824.874
487,0,100.546875000,24.609375000,1113.373
488,0,101.953125000,24.609375000,1468.248
489,0,103.359375000,24.609375000,1210.748
490,0,104.765625000,24.609375000,953.248
491,0,106.171875000,24.609375000,695.749
492,0,107.578125000,24.609375000,330.749
493,0,108.984375000,24.609375000,281.750
494,0,110.390625000,24.609375000,232.750
495,0,111.796875000,24.609375000,183.750
496,0,113.203125000,24.609375000,96.250
497,0,114.609375000,24.609375000,87.995
498,0,116.015625000,24.609375000,79.740
499,0,117.421875000,24.609375000,71.484
500,0,118.828125000,24.609375000,-632.697
501,0,120.234375000,24.609375000,-2032.806
